Review,Liked
"Friendly staff, very accommodating, nice food.  Nice and cool inside in the air conditioning. Would be lovely outside on a winters day.",1
"Some of our party had cold chips with the fish and chip meal, well 3 of them, the fish was nice and hot though.",1
"This vineyard and restaurant is so lovely and welcoming! A beautiful location and the grounds are immaculately kept. The staff are friendly and very helpful, making one feel at ease. The food and wine were very good value for money. Our anniversary was such a great day because of the Barrel!",1
We had a great relaxing lunch - atmosphere was exactly what we wanted - staff are very helpful and friendly - food tasted great (not much of a selection) and the wine was fantastic ð¥,1
"Exceptionally friendly and welcoming staff delivering an efficient and quality service.

The wine tasting âflightsâ were well curated, we discovered some pleasing treats in the âpremiumâ and âreserveâ range.

Double grazing plate was good, nothing too adventurous for the price, but the quality of the ingredients used was very good.

The public holiday surcharge (15%) for food service was understandable, but it was also applied to take home wine bottle sales also. That to our mind was unconventional.

Overall a very good experience, and we will make the Barrel a regular haunt.",1
The food and service were great. Definitely worth the over 2 hour drive. Beautiful location,1
"We phoned ahead, made a booking, arrived at the restaurant 5 minutes early only to wait in the rain for 20 minutes before they found a table for us. It took 45 minutes for our meals to come out, which were disappointing in size and flavour. The waitress acted as if we were a total inconvenience to her day, and multiple waitresses had to get very close to us / stand over the top of us to see the table numbers which were written on scrap paper and sticky taped to the centre of the table. This occured with other diners meals, and our meals with the waitresses to other tables until their found ours. I've been looking forward to trying The Barrel for years, only to be left feeling disappointed with our experience.",0
Lovely food here! The setting is amazing dining inside a barrel. However the staff were completely overwhelmed with the busyness - waiters were delivering plates to the wrong tables and our meal took 1 hour to come out. Felt sorry for the staff as they did the best however it felt very manic.,1
Lovely location. Food came out one at a time and one meal didnât arrive at all. Generous portion sizes. Kids grazing platter was a nice idea. Staff not very friendly. Wouldnât go back.,0
Lovely afternoon at the Barrel.  Staff were really friendly.  Good and wine great!  Lovely setting.  Highly recommended.,1
We would love to see some live music outside to boost the ambience. We always have. A lovely time and we class it as our local.,1
Excellent selection of food and wine flights. Great day out,1
"Amazing atmosphere food was fresh and delicious, came out quickly after we ordered. Fabulous selection of drinks.",1
"The setting is inviting, shaded and is well spaced.  The service was prompt and efficient and the food very good.  I have no hesitation in recommending The Barrel to friends and visitors.",1
Fantastic food. Amazing selection of Wine and Beer. Highly Recommend!,1
"We have always wanted to visit The Barrel and so pleased we did! The beer and wine paddles were great and actually enjoyed every glass.The shared plate of cheeses,meats and dips was very yummy indeed ð",1
great food great atmosphere awesome place for any occasion great job to all staff at the Barrel,1
"Awesome value for money, really enjoyed a platter and wine flight.",1
"The location and vibe were really good but the food was pretty average, I had the driest, most rubbery piece of fish I've ever eaten and drinks were expensive.",1
"Staff were lovely, food and wine was great and the views/ atmosphere were the best! Would definitely recommend",1
"Our waitress was superb, making sure we were satisfied at every stage of our visit!",1
"Beautiful setting. Salmon was cold. Interesting service model for beverage, should just serve at bar rather than deliver",1
"Beautiful facility.  Staff lovely and friendly.  Food took an exceptionally long time to arrive, was not together (ate at diff times, entree came at end) and two meals missed.  The kitchen probably needs to update their systems or change them.  
Would also recommend putting wedding (Hens/bucks) parties in a different area to normal quieter guests.  You could create a wonderful charater space to accommodate.",1
"Great location, food was great, prices were very reasonable. Only issue was there was three bridal hen parties there at the same time as us. Everyone seemed to go and order at once so the queue for us to order was about 25 deep. They did eventually put an extra staff member on to speed the process.  There was however a couple of people who were not in the bridal parties pushed into the front of the line and they were immediately served by the staff which was very unfair to those waiting in the line.",1
"Great venue with fabulous decor and ambiance! Only issue was it was quiet cool, almost cold and on what was a cold, wet and dreary day, it was quiet uncomfortable! Food took a VERY long time to arrive and when it did they forgot a meal, however what we received was fresh and delicious!",1
"As neighbours we visit the Barrell regularly. Yesterday, the food and service was poor. We queued for 15 minutes to order a bottle of wine and 2 glasses, which took another 15 minutes to arrive. We both ordered fish and chips, which this time, was not to the Barrell's standard. It was heavy batter and not crisp. Service was unsupervised and did not seem to know what they were doing.",0
"We'd go back- but only for the food and wine.  The Service was weird!  We ordered our starter and main at the same time to save having to trot back to the counter and line up again, and they ARRIVED together!!!!  The young wait staff didn't seem to have any idea why that was weird and why we'd ask about it.
They've also missed a hug opportunity with the layout of this place.  The view over the back of the hills from the car-park is amazing... and it's a lot quieter over that side.  Seems odd that they'd have the diners sitting beside the main road when they could be enjoying the quiet and the view from the other side of the building.",1
"Food was great. Fairly quick to the table which is always excellent when you have a starving cyclist, runner and yogi. 

Service was great - we have dietary requirements so have questions and staff were friendly and helpful towards us and to help cater to our needs. 

Atmosphere was great. 

Overall 5 stars from me 
â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸",1
Lovely location and venue. Staff were all very friendly. Good food and wine.,1
"Very poor service, waited over 30 mins for drinks, no cutlery, napkins, follow up. Great spot but service is woeful.",0
Not enough staff to cope with number of guests. Had to ask 3 times to get the drinks we ordered and paid for did not get them until we finished lunch and were ready to leave. Food was not good and expensive.,0
"Absolutely terrible service !! Followed up our drinks with 4 different staff members (who were all rude) â¦..they ended up coming out nearly an hour after our food which was finished quickly and we were ready to leave when our drinks finally arrived.
Nice location, nice food, food area for kids to play however wonât be going back.",0
"Was such a lovely venue to visit. 
Beautiful position, great food, kids had a great time in the playground. 
Would go back again",1
"Reasonable food prices, very tasty, paddles and wines yum, really enjoyed bringing our interstate visitors here",1
"This was a great venue to meet up with friends on a warm spring day, and we had a lovely time. The service and food was fabulous. However, it did get a bit hot out in the sun and the umbrella didn't help much as the sun moved. I think heading into summer there might need to be further consideration of providing more shade in some areas.",1
"Absolutely fantastic service, beautiful food and great wine!",1
We had a wonderful lunch. As usual the chips were splendid. Everyone enjoyed their food. Both of us who ordered pasta felt like we were eating heaven - crab and prawn pasta and Mediterranean veg pasta. We will return.,1
"Perfect Anniversary gift for my parents. Wine, and beer paddles with two grazer platters, delicious. Telling my family and friends to visit. Well looked after. Really enjoyed our experience here.",1
"The Barrel was amazing from the great view with amazing food an wine 
The service was great 
staff were pleasant an welcoming",1
We have dined a few times at clouds and love it. However the food was not up to the usual standard,1
Service was bad. Wine and Food was average. Will not go back or recommend to anybody.,0
Waited 1.5hrs for our food to arrive then be told one of our dishes had sold out so one person didn't have a meal. Were offered to wait for a alternative meal but was not going to wait the length of time. Also 2 seperate drink orders were missed. Incredibly disappointed and not sure we would return,1
"Great venue, food, drinks, atmosphere and staff. Our second time here and will definitely be back! We attended on father's day which was very busy but staff handled it well and were all so welcoming and accommodating to our needs. Special thank you to Alicia who went out of her way to help our kids. All staff deserve a thank you!",1
"Waited around 80 minutes for main courses which then arrived across a 15 minute period. Staff were helpful and apologetic. Food, when we got it, was good.  Queuing to order food was painful - couldnât understand why the second register was closed when there were still loads of people ordering. It was the reason we didnât stay for dessert and coffee or purchase some wine to go.",1
"Very disappointed with our experience at The Barrel. Pre- booked a lunch for Fatherâs Day with my partner and 2 kids. I went up to order food and paid then was told we would be waiting an hour for our food! It took an hour and a half for food to come, just slapped down on the table no apologies for how late it was, then my meal was wrong and had to wait another 20 minutes for it to arrive (my partner had to prompt staff for it too), the linguine arrived but had no crab meat with it as stated on the menu. Drinks also took 20 minutes to arrive at our table. After finishing our meals we got up to look at the wines on offer to buy, we had left our kids books, colouring pieces and Lego on the table. When we got back to the table it was all cleared apart from the actual rubbish. Asked staff where our kids belongings were and was told in the bin at the bottom! Asked the lady if she could get them out as they were decent books and the Lego was collectors pieces, and she acted as if we were inconveniencing her! Whilst this was happening another customer was complaining about the wait time and incorrect meal. Really shouldnât have booked that many people in if they canât cope with the numbers.",0
"I politely complained twice about the awful fish and chips I received and had no empathy and no one apologised at all. The wait person said she would tell the chef but when I asked, she ignored it. The batter was absolutely awful and the one piece of fish was tiny and the table next to us received 4 pieces in what looked like a beautiful light batter. We had been looking forward to this for such a long time for Fathers Day and it was just really disappointing not to be acknowledged when I was already very apprehensive in complaining. Terrible experience.",0
"We ordered and waited 45minutes before asking how much longer the wait was. We were told another 30minutes with them unable to give an explanation as to why. 
After waiting another 30minutes we enquired as to where our food was and we were told there were still two dockets infront of us and that our food was yet to be started. 
As we had two very hungry small children with us and no clear indication of how much longer it was going to take for food to arrive we couldnât wait around any longer and left with a refund for our food. Was a very disappointing experience.",0
"Good service, once you order your food and drinks at the bar
Delicious food and good sizing 
Would prefer to be place in restaurant with the view of the mountains, compared to be in a dimmed light area",1
"Visited on Sunday 28th August with a group of 4 people.  Food was so tasty and awesome, wait was very reasonable for time of day & amount of people that where at the vineyard.  Unfortunately bar service was dreadful.  Waited over 30 mins for 2 schooners of beer, as we were told it was quicker for schooners rather than beer & wine paddles.  All food arrived at the table before drinks arrived.   Maybe a solution would to let people collect drinks from bar instead of full table service if staffing is an issue.  Seemed to be adequate staff at the restaurant.  Would definitely visit again.",1
"Have dined here before but we were very disappointed on Friday lunchtime when after queuing   met at the door, we had a table booked, to be told sorry but half hour wait till you get a drink and more waiting time for a meal.  We said to her that we'd cancel our table and we dined somewhere else.  Wished we'd known before driving there but we really enjoyed our second choice in Maleny.  When are you not so busy to serve.",0
"We waited an hpur for food, and the burger was raw, apparently only one chef on and he likes to undercook wagu burgers. No real apology or offer of refund, only offer of free desert or drink, which we declined. Would not recommend, nor would we return",0
Prawn an crab linguine was divine,1
